Year,Institute_Type,Institute,Academic Program Name,Program_Year,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Round
2020.0,NIT,NIT Jalandhar,EE (BTech),4,OS,SC,GN,3178.0,3914.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,OS,SC,F,7178.0,7178.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,OS,ST,GN,382.0,1447.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,OPEN,GN,13708.0,20214.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,OPEN,F,24105.0,29045.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,OPEN (PWD),GN,765.0,765.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,EWS,GN,4208.0,5367.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,EWS,F,6641.0,6641.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,OBC-NCL,GN,11408.0,26314.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,OBC-NCL,F,20774.0,26365.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,SC,GN,4265.0,5451.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,SC,F,6732.0,7070.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,ST,GN,7660.0,7660.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,OS,OPEN,GN,10440.0,13735.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,OS,OPEN,F,18302.0,21875.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,OS,OPEN (PWD),GN,581.0,581.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,OS,OPEN (PWD),F,1049.0,1049.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,OS,EWS,GN,2207.0,2359.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,OS,EWS,F,4854.0,4854.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,OS,OBC-NCL,GN,3872.0,4547.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,OS,OBC-NCL,F,9733.0,10611.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,OS,SC,GN,2418.0,3029.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,OS,SC,F,6163.0,6217.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,OS,ST,GN,1276.0,1556.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,OS,ST,F,1972.0,1972.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,HS,OPEN,GN,59549.0,78042.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,HS,OPEN,F,62383.0,73305.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,HS,EWS,GN,12906.0,14893.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,HS,EWS,F,22653.0,22653.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,HS,OBC-NCL,GN,62922.0,159345.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,HS,OBC-NCL,F,86790.0,88389.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,HS,SC,GN,10741.0,14247.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,HS,SC,F,16205.0,16205.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,OS,OPEN,GN,28776.0,43297.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,OS,OPEN,F,44562.0,50429.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,OS,EWS,GN,7310.0,7486.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,OS,EWS,F,9144.0,9144.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,OS,OBC-NCL,GN,12446.0,14258.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,OS,OBC-NCL,F,19658.0,20383.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,OS,SC,GN,6327.0,7603.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,OS,SC,F,11143.0,11143.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,OS,ST,GN,3083.0,3317.0,6
2020.0,NIT,NIT Jalandhar,IPE (BTech),4,OS,ST,F,5004.0,5004.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,HS,OPEN,GN,11542.0,14717.0,6
2020.0,NIT,NIT Jalandhar,IT (BTech),4,HS,OPEN,F,17575.0,22548.0,6
