Year,Institute,Academic Program Name,Program_Year,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Round
2020.0,IIITV,CSE (BTech),4,AI,OBC-NCL,GN,5598.0,8841.0,6
2020.0,IIITV,CSE (BTech),4,AI,OBC-NCL,F,9700.0,12535.0,6
2020.0,IIITV,CSE (BTech),4,AI,OBC-NCL (PwD),GN,995.0,1291.0,6
2020.0,IIITV,CSE (BTech),4,AI,SC,GN,3274.0,6905.0,6
2020.0,IIITV,CSE (BTech),4,AI,SC,F,6082.0,7313.0,6
2020.0,IIITV,CSE (BTech),4,AI,ST,GN,1559.0,3605.0,6
2020.0,IIITV,CSE (BTech),4,AI,ST,F,1547.0,1547.0,6
2020.0,IIITV,IT (BTech),4,AI,OPEN,GN,17438.0,23610.0,6
2020.0,IIITV,IT (BTech),4,AI,OPEN,F,23976.0,25140.0,6
2020.0,IIITV,IT (BTech),4,AI,OPEN (PwD),GN,1840.0,1840.0,6
2020.0,IIITV,IT (BTech),4,AI,EWS,GN,4112.0,4242.0,6
2020.0,IIITV,IT (BTech),4,AI,EWS,F,5937.0,5937.0,6
2020.0,IIITV,IT (BTech),4,AI,OBC-NCL,GN,7339.0,10139.0,6
2020.0,IIITV,IT (BTech),4,AI,OBC-NCL,F,12697.0,12697.0,6
2020.0,IIITV,IT (BTech),4,AI,SC,GN,4742.0,7358.0,6
2020.0,IIITV,IT (BTech),4,AI,ST,GN,3689.0,3797.0,6
2020.0,IIITV,IT (BTech),4,AI,ST,F,5339.0,5339.0,6
2020.0,IIITA,ECE (BTech),4,AI,OPEN,GN,5353.0,9250.0,6
2020.0,IIITA,ECE (BTech),4,AI,OPEN,F,11631.0,15696.0,6
2020.0,IIITA,ECE (BTech),4,AI,OPEN (PwD),GN,498.0,637.0,6
2020.0,IIITA,ECE (BTech),4,AI,OPEN (PwD),F,971.0,971.0,6
2020.0,IIITA,ECE (BTech),4,AI,EWS,GN,1493.0,1820.0,6
2020.0,IIITA,ECE (BTech),4,AI,EWS,F,2931.0,3271.0,6
2020.0,IIITA,ECE (BTech),4,AI,EWS (PwD),GN,152.0,152.0,6
2020.0,IIITA,ECE (BTech),4,AI,OBC-NCL,GN,2688.0,3802.0,6
2020.0,IIITA,ECE (BTech),4,AI,OBC-NCL,F,6832.0,9294.0,6
2020.0,IIITA,ECE (BTech),4,AI,OBC-NCL (PwD),GN,317.0,317.0,6
2020.0,IIITA,ECE (BTech),4,AI,SC,GN,1837.0,2786.0,6
2020.0,IIITA,ECE (BTech),4,AI,SC,F,4137.0,5358.0,6
2020.0,IIITA,ECE (BTech),4,AI,ST,GN,1084.0,1472.0,6
2020.0,IIITA,ECE (BTech),4,AI,ST,F,1927.0,2121.0,6
2020.0,IIITA,IT (BTech),4,AI,OPEN,GN,1675.0,4960.0,6
2020.0,IIITA,IT (BTech),4,AI,OPEN,F,3476.0,10629.0,6
2020.0,IIITA,IT (BTech),4,AI,OPEN (PwD),GN,357.0,368.0,6
2020.0,IIITA,IT (BTech),4,AI,OPEN (PwD),F,189.0,189.0,6
2020.0,IIITA,IT (BTech),4,AI,EWS,GN,737.0,1013.0,6
2020.0,IIITA,IT (BTech),4,AI,EWS,F,1738.0,1905.0,6
2020.0,IIITA,IT (BTech),4,AI,EWS (PwD),GN,60.0,60.0,6
2020.0,IIITA,IT (BTech),4,AI,OBC-NCL,GN,887.0,2356.0,6
2020.0,IIITA,IT (BTech),4,AI,OBC-NCL,F,3106.0,6530.0,6
2020.0,IIITA,IT (BTech),4,AI,OBC-NCL (PwD),GN,147.0,193.0,6
2020.0,IIITA,IT (BTech),4,AI,OBC-NCL (PwD),F,550.0,550.0,6
2020.0,IIITA,IT (BTech),4,AI,SC,GN,334.0,1564.0,6
2020.0,IIITA,IT (BTech),4,AI,SC,F,1332.0,4171.0,6
2020.0,IIITA,IT (BTech),4,AI,SC (PwD),GN,83.0,128.0,6
2020.0,IIITA,IT (BTech),4,AI,ST,GN,442.0,977.0,6
2020.0,IIITA,IT (BTech),4,AI,ST,F,1522.0,2470.0,6
2020.0,IIITA,ITBI (BTech),4,AI,OPEN,GN,4589.0,5537.0,6
2020.0,IIITA,ITBI (BTech),4,AI,OPEN,F,10571.0,11400.0,6
2020.0,IIITA,ITBI (BTech),4,AI,OPEN (PwD),GN,292.0,292.0,6
2020.0,IIITA,ITBI (BTech),4,AI,EWS,GN,1082.0,1132.0,6
2020.0,IIITA,ITBI (BTech),4,AI,EWS,F,2329.0,2329.0,6
2020.0,IIITA,ITBI (BTech),4,AI,OBC-NCL,GN,2216.0,2629.0,6
2020.0,IIITA,ITBI (BTech),4,AI,OBC-NCL,F,3460.0,6568.0,6
2020.0,IIITA,ITBI (BTech),4,AI,OBC-NCL (PwD),GN,234.0,234.0,6
2020.0,IIITA,ITBI (BTech),4,AI,SC,GN,1604.0,1773.0,6
2020.0,IIITA,ITBI (BTech),4,AI,SC,F,3014.0,3014.0,6
2020.0,IIITA,ITBI (BTech),4,AI,ST,GN,1048.0,1108.0,6
2020.0,IIITA,ITBI (BTech),4,AI,ST,F,1881.0,1881.0,6
2020.0,IIITDM Kancheepuram,CSE (BTech),4,AI,OPEN,GN,8686.0,17414.0,6
2020.0,IIITDM Kancheepuram,CSE (BTech),4,AI,OPEN (PwD),GN,1007.0,1121.0,6
2020.0,IIITDM Kancheepuram,CSE (BTech),4,AI,EWS,GN,2779.0,3207.0,6
2020.0,IIITDM Kancheepuram,CSE (BTech),4,AI,EWS (PwD),GN,140.0,140.0,6
2020.0,IIITDM Kancheepuram,CSE (BTech),4,AI,OBC-NCL,GN,5020.0,6794.0,6
2020.0,IIITDM Kancheepuram,CSE (BTech),4,AI,OBC-NCL (PwD),GN,812.0,870.0,6
2020.0,IIITDM Kancheepuram,CSE (BTech),4,AI,SC,GN,1032.0,4093.0,6
2020.0,IIITDM Kancheepuram,CSE (BTech),4,AI,SC (PwD),GN,142.0,142.0,6
2020.0,IIITDM Kancheepuram,CSE (BTech),4,AI,ST,GN,1504.0,2162.0,6
2020.0,IIITDM Kancheepuram,ECE (BTech),4,AI,OPEN,GN,17465.0,26675.0,6
2020.0,IIITDM Kancheepuram,ECE (BTech),4,AI,OPEN (PwD),GN,1764.0,1875.0,6
2020.0,IIITDM Kancheepuram,ECE (BTech),4,AI,EWS,GN,4450.0,5271.0,6
2020.0,IIITDM Kancheepuram,ECE (BTech),4,AI,EWS (PwD),GN,222.0,222.0,6
2020.0,IIITDM Kancheepuram,ECE (BTech),4,AI,OBC-NCL,GN,7147.0,10481.0,6
2020.0,IIITDM Kancheepuram,ECE (BTech),4,AI,OBC-NCL (PwD),GN,886.0,886.0,6
2020.0,IIITDM Kancheepuram,ECE (BTech),4,AI,SC,GN,4334.0,6499.0,6
2020.0,IIITDM Kancheepuram,ECE (BTech),4,AI,ST,GN,2419.0,3067.0,6
2020.0,IIITDM Kancheepuram,ME (BTech),4,AI,OPEN,GN,22334.0,39524.0,6
2020.0,IIITDM Kancheepuram,ME (BTech),4,AI,OPEN (PwD),GN,1610.0,1610.0,6
2020.0,IIITDM Kancheepuram,ME (BTech),4,AI,EWS,GN,6525.0,6878.0,6
2020.0,IIITDM Kancheepuram,ME (BTech),4,AI,OBC-NCL,GN,10722.0,13620.0,6
2020.0,IIITDM Kancheepuram,ME (BTech),4,AI,OBC-NCL (PwD),GN,1307.0,1307.0,6
2020.0,IIITDM Kancheepuram,ME (BTech),4,AI,SC,GN,5090.0,6793.0,6
2020.0,IIITDM Kancheepuram,ME (BTech),4,AI,ST,GN,2016.0,3208.0,6
2020.0,IIITDM Kancheepuram,SM (BTech),4,AI,OPEN,GN,24066.0,43973.0,6
