year,institute_name,institute_type,overall_avg_ctc,cse_avg_ctc,ece_avg_ctc,cse_vs_ece_gap,ee_avg_ctc,me_avg_ctc,civil_avg_ctc,chemical_avg_ctc,city,state,city_tier,total_fee_4yr,total_fee_5yr,hostel_available,campus_area,infra_rating,campus_status,offers_5yr_program
2023,iiit gwalior,IIIT,24.31,22.2,24.31,-2.109999999999999,,,,,Imphal,Manipur,3,1197000,0.0,False,0.0,4.2,Under Construction,False
2023,iiit agartala,IIIT,12.0,23.0,17.0,6.0,,,,,Agartala,Tripura,3,811000,0.0,False,0.0,4.3,Under Construction,False
2023,iiit allahabad,IIIT,32.83,32.83,29.11,3.719999999999999,,,,,Prayagraj,Uttar Pradesh,2,844000,1536000.0,True,100.0,4.5,Available,True
2023,iiit bangalore,IIIT,29.6,35.0,25.55,9.45,,,,,Bangalore,Karnataka,1,2024000,2632000.0,True,9.0,4.5,Available,True
2023,iiit bhagalpur,IIIT,15.61,14.11,15.91,-1.8000000000000007,,,,,Bhagalpur,Bihar,3,1345000,0.0,True,50.0,4.3,Available,False
2023,iiit bhopal,IIIT,20.51,22.56,18.03,4.529999999999998,,,,,Bhopal,Madhya Pradesh,2,720000,0.0,False,0.0,4.3,Under Construction,False
2023,iiit bhubaneswar,IIIT,11.0,13.0,9.0,4.0,,,,,Bhubaneswar,Odisha,1,996000,0.0,True,23.0,3.9,Available,False
2023,iiit delhi,IIIT,23.65,28.78,25.39,3.390000000000001,,,,,Delhi,Delhi,1,2399000,0.0,True,25.0,4.5,Available,False
2023,iiit dharwad,IIIT,11.52,11.97,11.43,0.5400000000000009,,,,,Dharwad,Karnataka,3,1630000,0.0,True,60.0,4.5,Available,False
2023,iiit guwahati,IIIT,15.5,17.0,11.0,6.0,,,,,Guwahati,Assam,2,1343000,0.0,True,67.0,4.5,Available,False
2023,iiit hyderabad,IIIT,23.43,32.2,27.24,4.960000000000004,,,,,Hyderabad,Telangana,1,1800000,2000000.0,True,66.0,4.7,Available,True
2023,iiit kalyani,IIIT,12.76,12.76,12.76,0.0,,,,,Kalyani,West Bengal,3,912000,0.0,False,0.0,4.4,Under Construction,False
2023,iiit kota,IIIT,14.6,15.76,11.31,4.449999999999999,,,,,Kota,Rajasthan,2,1063000,0.0,True,100.37,4.3,Available,False
2023,iiit kottayam,IIIT,14.32,14.32,14.32,0.0,,,,,Kottayam,Kerala,3,1162000,0.0,True,53.0,4.5,Available,False
2023,iiit kurnool,IIIT,10.79,10.79,9.08,1.709999999999999,,,,,Kurnool,Andhra Pradesh,3,913000,972000.0,True,151.0,4.5,Available,True
2023,iiit lucknow,IIIT,30.52,30.52,30.52,0.0,,,,,Lucknow,Uttar Pradesh,2,979000,0.0,True,50.0,4.4,Available,False
2023,iiit manipur,IIIT,8.7,8.7,8.7,0.0,,,,,Imphal,Manipur,1,1197000,0.0,True,13.0,3.6,Available,False
2023,iiit nagpur,IIIT,13.67,13.89,14.87,-0.9799999999999986,,,,,Nagpur,Maharashtra,2,1184000,0.0,True,100.0,4.3,Available,False
2023,iiit naya raipur,IIIT,16.56,19.64,14.87,4.770000000000001,,,,,Naya Raipur,Chhattisgarh,2,653250,840000.0,True,50.0,4.3,Available,True
2023,iiit pune,IIIT,16.58,19.0,16.0,3.0,,,,,Pune,Maharashtra,1,1200000,0.0,False,0.0,4.4,Under Construction,False
2023,iiit raichur,IIIT,18.0,18.0,17.01,0.9899999999999984,,,,,Raichur,Karnataka,3,1093000,0.0,False,0.0,4.4,Under Construction,False
2023,iiit ranchi,IIIT,15.95,17.01,17.01,0.0,,,,,Ranchi,Jharkhand,2,1405000,0.0,False,0.0,4.2,Under Construction,False
2023,iiit sri city,IIIT,20.3,20.7,17.01,3.6899999999999977,,,,,Sri City,Andhra Pradesh,3,1775000,0.0,False,80.0,4.4,Available,False
2023,iiit surat,IIIT,12.52,14.21,9.87,4.340000000000002,,,,,Surat,Gujarat,1,937000,0.0,False,28.71,4.3,Available,False
2023,iiit una,IIIT,14.0,12.0,13.8,-1.8000000000000007,,,,,Una,Himachal Pradesh,3,1227000,0.0,True,80.0,4.3,Available,False
2023,iiit vadodara,IIIT,15.43,15.43,11.34,4.09,,,,,Vadodara,Gujarat,2,1580000,0.0,False,0.0,4.4,Under Construction,False
2023,iiitdm jabalpur,IIIT,21.63,25.08,23.48,1.599999999999998,,,,,Jabalpur,Madhya Pradesh,2,797000,0.0,True,260.0,4.8,Available,False
2023,iiitdm kancheepuram,IIIT,8.8,12.95,11.36,1.59,,,,,Chennai,Tamil Nadu,1,1322000,1322000.0,True,51.75,4.6,Available,True
2024,iiit gwalior,IIIT,22.11,22.11,16.425,5.684999999999999,,,,,Gwalior,Madhya Pradesh,2,907000,790000.0,True,160.0,4.7,Available,True
2024,iiit gwalior,IIIT,22.11,22.11,16.425,5.684999999999999,,,,,Imphal,Manipur,3,1197000,0.0,False,0.0,4.2,Under Construction,False
2024,iiit agartala,IIIT,10.9,17.0,10.9,6.1,,,,,Agartala,Tripura,3,811000,0.0,False,0.0,4.3,Under Construction,False
2024,iiit allahabad,IIIT,25.78,25.78,25.48,0.3000000000000007,,,,,Prayagraj,Uttar Pradesh,2,844000,1536000.0,True,100.0,4.5,Available,True
2024,iiit bangalore,IIIT,34.5,33.4,19.8,13.599999999999998,,,,,Bangalore,Karnataka,1,2024000,2632000.0,True,9.0,4.5,Available,True
2024,iiit bhagalpur,IIIT,12.52,11.17,7.16,4.01,,,,,Bhagalpur,Bihar,3,1345000,0.0,True,50.0,4.3,Available,False
2024,iiit bhopal,IIIT,12.32,14.7,10.53,4.17,,,,,Bhopal,Madhya Pradesh,2,720000,0.0,False,0.0,4.3,Under Construction,False
2024,iiit bhubaneswar,IIIT,8.81,9.0,8.0,1.0,,,,,Bhubaneswar,Odisha,1,996000,0.0,True,23.0,3.9,Available,False
2024,iiit delhi,IIIT,21.57,22.04,18.0,4.039999999999999,,,,,Delhi,Delhi,1,2399000,0.0,True,25.0,4.5,Available,False
2024,iiit dharwad,IIIT,9.5,9.54,9.5,0.0399999999999991,,,,,Dharwad,Karnataka,3,1630000,0.0,True,60.0,4.5,Available,False
2024,iiit guwahati,IIIT,14.88,15.26,13.1,2.16,,,,,Guwahati,Assam,2,1343000,0.0,True,67.0,4.5,Available,False
2024,iiit hyderabad,IIIT,26.44,31.49,21.39,10.099999999999998,,,,,Hyderabad,Telangana,1,1800000,2000000.0,True,66.0,4.7,Available,True
2024,iiit kalyani,IIIT,12.76,10.72,10.72,0.0,,,,,Kalyani,West Bengal,3,912000,0.0,False,0.0,4.4,Under Construction,False
2024,iiit kota,IIIT,13.09,13.39,12.41,0.9800000000000004,,,,,Kota,Rajasthan,2,1063000,0.0,True,100.37,4.3,Available,False
2024,iiit kottayam,IIIT,12.66,12.66,12.66,0.0,,,,,Kottayam,Kerala,3,1162000,0.0,True,53.0,4.5,Available,False
2024,iiit kurnool,IIIT,8.2,8.2,8.2,0.0,,,,,Kurnool,Andhra Pradesh,3,913000,972000.0,True,151.0,4.5,Available,True
2024,iiit lucknow,IIIT,29.8,29.85,22.36,7.490000000000002,,,,,Lucknow,Uttar Pradesh,2,979000,0.0,True,50.0,4.4,Available,False
2024,iiit manipur,IIIT,8.7,8.7,8.7,0.0,,,,,Imphal,Manipur,1,1197000,0.0,True,13.0,3.6,Available,False
2024,iiit nagpur,IIIT,13.11,13.11,13.11,0.0,,,,,Nagpur,Maharashtra,2,1184000,0.0,True,100.0,4.3,Available,False
2024,iiit naya raipur,IIIT,16.25,16.25,13.9,2.3499999999999996,,,,,Naya Raipur,Chhattisgarh,2,653250,840000.0,True,50.0,4.3,Available,True
2024,iiit pune,IIIT,13.6,13.25,11.84,1.41,,,,,Pune,Maharashtra,1,1200000,0.0,False,0.0,4.4,Under Construction,False
2024,iiit raichur,IIIT,15.0,12.14,12.14,0.0,,,,,Raichur,Karnataka,3,1093000,0.0,False,0.0,4.4,Under Construction,False
2024,iiit ranchi,IIIT,12.14,12.14,12.14,0.0,,,,,Ranchi,Jharkhand,2,1405000,0.0,False,0.0,4.2,Under Construction,False
2024,iiit sri city,IIIT,14.2,14.5,12.4,2.0999999999999996,,,,,Sri City,Andhra Pradesh,3,1775000,0.0,False,80.0,4.4,Available,False
2024,iiit surat,IIIT,12.92,13.75,12.03,1.7200000000000006,,,,,Surat,Gujarat,1,937000,0.0,False,28.71,4.3,Available,False
2024,iiit una,IIIT,9.36,10.44,8.49,1.9499999999999993,,,,,Una,Himachal Pradesh,3,1227000,0.0,True,80.0,4.3,Available,False
2024,iiit vadodara,IIIT,11.34,11.34,12.0,-0.6600000000000001,,,,,Vadodara,Gujarat,2,1580000,0.0,False,0.0,4.4,Under Construction,False
2024,iiitdm jabalpur,IIIT,19.27,19.27,21.49,-2.219999999999999,,,,,Jabalpur,Madhya Pradesh,2,797000,0.0,True,260.0,4.8,Available,False
2024,iiitdm kancheepuram,IIIT,9.75,13.86,11.91,1.9499999999999993,,,,,Chennai,Tamil Nadu,1,1322000,1322000.0,True,51.75,4.6,Available,True
2020,iit bhilai,IIT,11.3,11.82,12.0,-0.1799999999999997,11.21,7.51,,,Bhilai,Chhattisgarh,2,929000,1319000.0,True,447.0,4.1,Available,True
2020,iit bhubaneswar,IIT,15.8,22.6,15.8,6.800000000000001,15.8,12.0,,,Bhubaneswar,Odisha,2,905560,1128000.0,True,936.0,4.3,Available,True
2020,iit bombay,IIT,20.08,20.08,17.91,2.169999999999998,20.08,20.65,,,Bombay,Maharashtra,1,882500,2383000.0,True,550.0,4.9,Available,True
2020,iit delhi,IIT,16.0,15.81,15.5,0.3100000000000005,16.0,15.0,,,Delhi,Delhi,1,862550,1233000.0,True,350.0,4.9,Available,True
2020,iit dhanbad,IIT,17.56,18.0,15.0,3.0,12.0,14.08,,,Dhanbad,Jharkhand,2,1201000,1038000.0,True,458.0,4.6,Available,True
2020,iit dharwad,IIT,7.0,7.0,7.0,0.0,8.0,7.0,,,Dharwad,Karnataka,2,919000,1131000.0,False,470.0,4.0,Available,True
2020,iit gandhinagar,IIT,8.29,8.0,8.96,-0.9600000000000009,19.6,19.6,,,Gandhinagar,Gujarat,2,879454,1000000.0,True,450.0,4.8,Available,True
2020,iit goa,IIT,13.0,15.51,15.51,0.0,15.51,15.51,,,Goa,Goa,2,852568,1000000.0,True,320.0,4.0,Available,True
2020,iit guwahati,IIT,10.78,20.0,12.3,7.699999999999999,25.93,18.19,,,Guwahati,Assam,2,903700,904000.0,True,704.0,4.9,Available,True
2020,iit hyderabad,IIT,22.07,25.69,26.82,-1.129999999999999,26.82,22.07,,,Hyderabad,Telangana,1,942552,2250000.0,True,576.0,4.9,Available,True
2020,iit indore,IIT,23.5,25.5,21.2,4.300000000000001,25.7,15.6,,,Indore,Madhya Pradesh,2,881000,1440000.0,True,501.0,4.7,Available,True
2020,iit jammu,IIT,12.28,12.2,12.28,-0.08,12.2,12.28,,,Jammu,Jammu and Kashmir,2,1060000,1069000.0,True,400.0,4.0,Available,True
2020,iit jodhpur,IIT,16.73,14.33,16.5,-2.17,20.0,14.0,,,Jodhpur,Rajasthan,2,1033000,255000.0,True,852.0,4.8,Available,True
2020,iit kanpur,IIT,11.02,11.02,11.02,0.0,27.6,7.5,,,Kanpur,Uttar Pradesh,2,918880,1077000.0,True,1055.0,4.7,Available,True
2020,iit kharagpur,IIT,19.0,29.21,20.0,9.21,19.5,16.0,,,Kharagpur,West Bengal,3,1065980,1118000.0,True,2100.0,4.8,Available,True
2020,iit madras,IIT,18.12,25.0,18.12,6.879999999999999,27.28,18.12,,,Chennai,Tamil Nadu,1,938668,939000.0,True,620.0,4.8,Available,True
2020,iit mandi,IIT,24.78,15.0,19.92,-4.920000000000002,19.92,10.0,,,Mandi,Himachal Pradesh,3,825000,1071000.0,True,538.0,4.1,Available,True
2020,iit palakkad,IIT,9.93,11.42,9.93,1.4900000000000002,15.88,9.93,,,Palakkad,Kerala,3,905960,1000000.0,True,500.0,4.0,Available,True
2020,iit patna,IIT,14.76,14.0,14.0,0.0,14.76,14.76,,,Patna,Bihar,2,999250,1000000.0,True,501.0,4.2,Available,True
2020,iit roorkee,IIT,16.0,18.0,15.5,2.5,13.12,10.33,,,Roorkee,Uttarakhand,2,887000,1049000.0,True,365.0,4.8,Available,True
2020,iit ropar,IIT,15.85,15.85,15.85,0.0,15.85,15.85,,,Ropar,Punjab,2,1003000,948000.0,True,545.0,4.5,Available,True
2020,iit tirupati,IIT,11.0,14.0,11.0,3.0,14.0,10.95,,,Tirupati,Andhra Pradesh,2,881680,882000.0,True,539.0,3.9,Available,True
2020,iit varanasi,IIT,16.69,18.34,16.69,1.6499999999999986,22.77,16.69,,,Varanasi,Uttar Pradesh,2,835000,1041000.0,True,1300.0,4.2,Available,True
